seatid,price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,sold_first_hour
60,3586,27,6,77,72,2,216,211,VIP,0.35,0.47,Fast,0.3,1,0
61,972,35,5,47,67,1,238,234,Premium,0.24,0.32,Fast,0.42,0,0
62,364,109,9,89,74,1,244,249,General,0.35,0.45,Fast,0.41,0,1
63,3322,28,1,72,71,3,291,251,VIP,0.1,0.38,Medium,0.57,0,0
64,2098,43,8,61,62,3,160,225,VIP,0.35,0.32,Slow,0.74,1,0
65,2711,28,0,4,60,0,285,124,VIP,0.29,0.3,Slow,0.69,1,0
66,2782,21,8,57,73,3,284,262,VIP,0.27,0.74,Medium,0.53,0,0
67,565,40,12,15,77,1,351,222,General,0.27,0.07,Fast,0.23,0,1
68,2083,19,0,79,59,1,234,276,VIP,0.14,1,Medium,0.37,1,0
69,2072,19,4,34,49,1,196,198,VIP,0.2,0.46,Fast,0.3,0,0
70,1618,21,0,4,51,1,204,256,Premium,0.09,0.44,Medium,0.51,0,0
71,403,93,0,40,60,3,285,216,General,0.28,0.81,Medium,0.42,0,1
72,2333,34,0,73,62,1,287,110,VIP,0.17,1,Medium,0.32,1,0
73,1198,38,11,19,62,1,310,170,Premium,0.3,0.41,Fast,0.18,0,0
74,3408,29,0,0,58,2,272,158,VIP,0.09,0.48,Slow,0.53,1,0
75,1905,38,8,63,64,0,304,249,VIP,0.14,0.93,Fast,0.32,1,0
76,147,147,11,60,82,2,396,273,General,0.2,0.04,Medium,0.46,0,1
77,363,131,16,77,73,2,186,231,General,0.41,0.32,Medium,0.41,1,0
78,2944,13,2,4,55,0,270,212,VIP,0.1,0.64,Fast,0.36,0,0
79,2596,41,0,18,54,1,151,141,VIP,0.23,0.37,Fast,0.2,0,0
80,357,115,9,47,61,2,163,274,General,0.3,0.22,Fast,0.36,0,1
81,3200,21,0,85,54,1,157,161,VIP,0.17,0.42,Fast,0.38,0,0
82,343,148,20,37,75,3,227,251,General,0.29,0.64,Medium,0.7,1,0
83,2050,38,1,7,61,2,307,230,VIP,0.22,0.85,Fast,0.33,0,0
84,3232,34,5,16,51,1,176,112,VIP,0.35,1,Medium,0.38,0,0
85,496,113,8,71,63,1,287,123,General,0.32,0.19,Slow,0.65,1,0
86,2785,27,4,43,67,2,272,198,VIP,0.39,1,Medium,0.59,0,0
87,177,104,10,45,71,0,302,270,General,0.3,0.85,Slow,0.51,1,1
88,515,44,4,31,64,1,191,231,General,0.09,0.41,Medium,0.6,0,0
89,3363,10,0,22,49,0,202,21,VIP,0.17,0.57,Medium,0.63,0,0
90,3252,17,11,15,67,3,199,231,VIP,0.3,1,Medium,0.32,0,0
91,3191,26,0,57,64,3,293,223,VIP,0.24,0.3,Slow,0.86,1,0
92,2366,42,5,83,68,3,235,164,VIP,0.09,0.43,Slow,0.84,1,0
93,356,137,9,79,73,0,325,139,General,0.24,0.81,Medium,0.49,0,0
94,1970,41,0,4,77,3,235,172,VIP,0.14,1,Medium,0.6,0,0
95,1239,34,10,4,75,0,322,124,Premium,0.33,0.22,Fast,0.12,0,1
96,3453,38,8,31,63,1,309,254,VIP,0.14,1,Medium,0.68,0,0
97,1493,41,1,26,61,3,275,128,Premium,0.13,0.72,Fast,0.19,0,0
98,1174,34,4,10,64,1,173,121,Premium,0.11,0.64,Fast,0.44,0,0
99,2476,30,6,44,72,0,248,180,VIP,0.29,0.93,Fast,0.24,0,0
100,564,97,8,73,69,2,285,95,General,0.34,0.51,Slow,0.75,0,1
101,2202,40,0,26,58,0,159,194,VIP,0.15,0.92,Fast,0.44,1,0
102,2120,24,0,82,53,2,144,81,VIP,0.23,0.45,Medium,0.54,0,0
103,2631,33,4,37,65,1,310,230,VIP,0.47,0.5,Slow,0.52,1,0
104,3455,16,0,54,61,2,231,287,VIP,0.22,0.52,Slow,0.87,1,0
105,2581,16,0,39,63,0,308,168,VIP,0.15,0.73,Medium,0.56,1,0
106,236,135,10,59,65,1,263,140,General,0.24,0.05,Fast,0.5,0,1
107,380,87,16,63,67,3,311,207,General,0.34,0.32,Medium,0.42,1,0
108,2203,21,7,72,57,1,176,235,VIP,0.34,0.35,Fast,0.23,0,0
109,245,125,13,83,64,2,193,160,General,0.39,0.65,Medium,0.51,0,1
110,1447,38,4,87,55,1,155,105,Premium,0.31,0.52,Slow,0.55,1,0
111,197,117,7,81,60,1,297,155,General,0.31,0.45,Fast,0.39,1,1
112,2291,22,11,62,65,1,223,206,VIP,0.28,0.5,Slow,0.77,1,0
113,394,115,18,46,78,1,278,282,General,0.45,0.19,Fast,0.19,1,1
114,2623,41,5,54,54,2,256,87,VIP,0.23,0.59,Slow,0.58,0,0
115,492,118,2,48,71,2,340,254,General,0.29,0.57,Fast,0.26,0,0
116,3041,22,4,29,57,1,158,255,VIP,0.08,0.96,Slow,0.59,0,0
117,190,150,7,21,70,2,242,295,General,0.12,0.06,Fast,0.23,0,1
118,734,33,8,23,73,3,334,232,General,0.26,0.23,Fast,0.12,0,0
119,485,93,8,34,57,1,274,75,General,0.38,0.3,Fast,0.33,1,0
120,1348,21,3,5,65,2,175,223,Premium,0.1,0.36,Medium,0.48,1,0
121,1255,32,3,89,59,2,232,190,Premium,0.19,0.24,Medium,0.48,1,0
122,1065,37,0,65,52,1,205,125,Premium,0.44,0.35,Slow,0.54,1,0
123,2611,36,0,85,64,1,217,154,VIP,0.16,0.52,Slow,0.62,1,0
124,310,107,13,83,66,3,228,245,General,0.39,0.2,Medium,0.34,1,0
125,2868,27,0,30,57,0,203,199,VIP,0.2,1,Fast,0.26,0,0
126,360,118,23,53,82,2,327,228,General,0.39,0.62,Slow,0.65,1,1
127,1161,38,0,6,61,2,210,181,Premium,0.41,0,Slow,0.76,1,0
128,1397,35,4,0,64,0,280,139,Premium,0.16,0.37,Fast,0.41,0,0
129,1942,25,1,73,59,1,286,203,VIP,0.29,1,Slow,0.87,1,0
130,1277,29,4,54,63,1,203,169,Premium,0.2,0.81,Slow,0.74,1,0
131,2504,26,5,52,55,2,160,191,VIP,0.27,0.96,Medium,0.68,1,0
132,3143,15,0,83,64,1,270,197,VIP,0.17,1,Medium,0.61,1,0
133,1426,30,19,36,77,1,205,243,Premium,0.34,0.88,Fast,0.47,0,0
134,293,115,10,12,62,0,218,115,General,0.44,0.1,Slow,0.73,1,0
135,2393,31,8,5,69,1,254,176,VIP,0.24,0.34,Medium,0.7,1,0
136,1169,24,0,36,49,2,140,216,Premium,0.32,0.11,Medium,0.39,0,0
137,2007,19,0,54,64,0,207,91,Premium,0.27,0.01,Medium,0.39,0,0
138,1146,32,0,17,58,2,191,164,Premium,0.2,0.2,Fast,0.45,0,0
139,179,127,9,76,69,2,214,233,General,0.29,0.75,Fast,0.5,0,1
140,1151,37,6,1,71,0,204,243,Premium,0.35,0.01,Slow,0.89,1,1
141,2355,32,0,73,56,2,245,167,VIP,0.14,0.7,Fast,0.41,0,0
142,2519,30,4,30,67,2,328,249,VIP,0.36,0.72,Slow,0.65,0,0
143,2897,25,0,8,63,1,309,108,VIP,0.06,0.53,Fast,0.16,0,0
144,2791,22,0,32,60,2,267,202,VIP,0.29,0.74,Medium,0.61,0,0
145,2032,12,1,2,63,2,173,113,VIP,0.18,0.68,Slow,0.58,1,0
146,2167,28,3,56,61,1,234,131,VIP,0.17,1,Slow,0.6,1,0
147,1742,36,10,87,82,4,234,274,VIP,0.27,1,Fast,0.41,0,0
148,738,40,5,57,65,1,289,152,General,0.22,0.83,Fast,0.31,0,0
149,409,144,12,34,70,3,300,239,General,0.38,0.51,Fast,0.19,0,1
150,2870,28,2,56,60,3,239,40,VIP,0.18,0.86,Slow,0.83,0,0
151,2831,32,1,9,66,3,319,233,VIP,0.31,0.4,Slow,0.76,1,0
152,340,101,13,81,72,3,234,267,General,0.14,0.57,Slow,0.76,1,0
153,1537,23,1,81,59,2,219,210,Premium,0.25,0.72,Medium,0.36,0,0
154,2309,25,6,47,67,2,253,176,VIP,0.2,1,Slow,0.85,1,0
155,2060,15,0,10,60,0,268,149,VIP,0.28,0.32,Medium,0.67,1,0
156,3488,5,1,27,58,2,285,166,VIP,0.3,1,Slow,0.7,1,0
157,2770,23,0,35,57,0,211,135,VIP,0.25,0.62,Fast,0.12,1,0
158,407,113,18,54,73,1,323,169,General,0.31,0.36,Medium,0.62,1,1
159,245,124,7,17,71,1,352,155,General,0.28,0.01,Fast,0.1,0,1
160,2524,23,5,1,50,0,178,232,VIP,0.17,0.51,Slow,0.7,0,0
161,2735,26,0,74,62,1,260,115,VIP,0.2,0.62,Medium,0.49,0,0
162,2242,31,11,21,72,2,312,213,VIP,0.42,0.9,Fast,0.42,0,0
163,324,116,20,67,79,2,307,282,General,0.4,0.89,Fast,0.36,0,0
164,1419,29,6,74,65,1,236,236,Premium,0.38,0.95,Medium,0.5,0,0
165,244,134,11,60,67,1,190,172,General,0.13,0.35,Medium,0.31,0,1
166,1431,34,6,10,60,1,164,191,Premium,0.14,0.78,Fast,0.46,0,0
167,3170,28,9,21,59,2,223,168,VIP,0.25,0.99,Medium,0.58,0,0
168,1544,19,9,88,49,1,147,149,Premium,0.36,0.71,Fast,0.43,0,0
169,2417,25,4,39,56,1,157,205,VIP,0.3,1,Medium,0.68,0,0
170,530,96,13,64,82,1,379,223,General,0.29,0.92,Fast,0.24,0,0
171,2519,29,14,5,69,3,238,145,VIP,0.47,0.67,Slow,0.8,1,0
172,1575,33,4,37,58,2,249,176,Premium,0.3,0.34,Fast,0.18,0,0
173,440,120,10,39,69,2,189,200,General,0.43,0.2,Fast,0.43,0,0
174,3219,36,12,86,71,0,208,259,VIP,0.23,0.88,Slow,0.58,1,0
175,357,133,17,36,69,2,201,194,General,0.13,0.7,Fast,0.26,0,0
176,199,133,7,79,58,1,243,186,General,0.09,0.71,Slow,0.54,0,0
177,279,142,10,81,79,3,392,262,General,0.24,0.6,Fast,0.26,0,1
178,337,125,8,25,57,2,166,136,General,0.32,0.41,Medium,0.36,1,1
179,2914,19,4,87,60,1,158,145,VIP,0.37,0.97,Slow,0.85,1,0
180,2981,25,0,60,56,0,269,230,VIP,0.11,0.94,Fast,0.37,0,0
181,2594,17,7,83,63,3,198,193,VIP,0.29,0.97,Medium,0.63,0,0
182,3087,31,0,70,64,0,231,200,VIP,0.21,1,Medium,0.38,1,0
183,993,22,2,18,64,0,319,196,Premium,0.23,0.62,Slow,0.67,0,0
184,2454,19,1,50,62,2,310,162,VIP,0.23,1,Fast,0.12,1,0
185,439,117,14,1,71,2,208,214,General,0.52,0.66,Slow,0.88,0,1
186,292,118,0,75,58,1,185,171,General,0.27,0.95,Fast,0.5,0,0
187,1533,29,0,13,59,0,225,120,Premium,0.32,0.86,Medium,0.65,1,1
188,2060,37,7,27,65,0,176,229,VIP,0.21,0.75,Medium,0.68,1,0
189,2453,21,3,43,65,3,267,347,VIP,0.06,0.61,Medium,0.38,0,0
190,304,117,7,43,58,1,194,131,General,0.25,0.66,Slow,0.51,1,1
191,292,130,18,78,74,1,261,214,General,0.6,0.34,Slow,0.87,1,0
192,2496,37,9,34,58,1,199,191,VIP,0.05,0.59,Medium,0.59,1,0
193,2283,17,3,56,66,0,228,190,VIP,0.11,1,Fast,0.24,1,0
194,1506,19,0,8,56,1,279,139,Premium,0.19,0.44,Medium,0.44,0,0
195,121,135,18,23,74,0,353,194,General,0.27,0.21,Medium,0.35,1,1
196,1404,27,7,65,61,1,207,162,Premium,0.29,0.87,Slow,0.65,1,0
197,390,104,13,7,68,1,260,166,General,0.35,0.23,Slow,0.71,1,0
198,281,113,2,44,59,2,274,159,General,0.3,0.44,Fast,0.12,0,1
199,2264,32,0,55,54,1,208,148,VIP,0.08,0.31,Medium,0.61,0,0
200,394,122,19,80,83,3,314,192,General,0.5,0.1,Medium,0.69,1,1
201,1442,33,0,62,63,1,279,295,Premium,0.28,0.71,Fast,0.37,0,0
202,470,110,14,35,73,2,254,291,General,0.41,0.54,Fast,0.41,0,0
203,1228,42,3,28,67,2,180,310,Premium,0.33,0.04,Medium,0.38,1,0
204,175,129,8,46,53,2,244,205,General,0.25,0.21,Fast,0.34,1,0
205,3074,31,4,54,74,0,255,166,VIP,0.17,1,Fast,0.36,0,0
206,279,135,20,27,86,3,428,277,General,0.4,0.19,Slow,0.57,1,1
207,2614,34,5,13,69,2,213,202,VIP,0.34,1,Fast,0.16,0,0
208,2308,26,4,83,57,2,241,133,VIP,0.22,0.36,Slow,0.68,1,0
209,2541,42,5,0,60,0,235,177,VIP,0.25,1,Fast,0.38,0,0
210,1782,38,11,77,73,3,329,227,Premium,0.39,0.92,Fast,0.45,1,0
211,245,111,10,9,72,2,188,212,General,0.23,0.04,Slow,0.81,1,0
212,2483,42,0,1,60,3,285,294,VIP,0.25,0.43,Fast,0.42,0,0
213,179,130,1,50,53,1,139,223,General,0.28,0.52,Medium,0.62,0,1
214,2767,22,6,57,62,1,260,120,VIP,0.48,0.48,Medium,0.4,0,0
215,2460,34,2,14,58,1,193,206,VIP,0.03,1,Slow,0.62,0,0
216,2331,29,3,13,66,0,301,220,VIP,0.19,1,Fast,0.2,0,0
217,1535,23,0,79,59,0,156,182,Premium,0.18,0.05,Medium,0.42,0,0
218,2347,48,8,62,52,1,132,162,VIP,0.23,1,Fast,0.44,1,0
219,3041,25,0,51,60,1,233,163,VIP,0.3,1,Fast,0.1,0,0
220,1597,34,6,65,67,3,220,199,Premium,0.27,0.08,Medium,0.5,1,0
221,308,100,7,82,79,3,364,230,General,0.37,0.17,Slow,0.52,1,0
222,270,128,4,36,75,0,323,237,General,0.4,0.51,Slow,0.72,1,1
223,2618,25,0,21,59,0,288,208,VIP,0.16,0.68,Slow,0.61,0,0
224,2916,36,6,12,68,0,294,284,VIP,0,0.96,Medium,0.69,0,0
225,576,86,12,1,74,1,227,194,General,0.38,0.61,Fast,0.23,0,0
226,1308,29,17,48,80,4,231,242,Premium,0.28,0.6,Fast,0.42,0,1
227,103,119,22,57,82,0,235,247,General,0.42,0.47,Fast,0.28,0,1
228,418,103,16,60,66,2,229,131,General,0.33,0.05,Fast,0.25,0,1
229,2937,33,10,46,72,1,290,251,VIP,0.27,0.5,Slow,0.54,0,0
230,3426,40,0,9,63,3,179,267,VIP,0.23,0.97,Fast,0.32,0,0
231,410,105,18,31,75,1,327,288,General,0.36,0.09,Medium,0.31,1,0
232,2528,38,4,66,68,3,259,167,VIP,0.25,0.57,Medium,0.55,1,0
233,448,126,10,16,69,0,306,152,General,0.23,0.72,Slow,0.55,0,0
234,259,119,10,72,64,1,211,159,General,0.47,0.02,Medium,0.36,0,1
235,2795,16,0,62,51,2,196,139,VIP,0.27,0.44,Slow,0.64,1,0
236,1009,41,10,43,73,2,255,239,Premium,0.26,0.17,Medium,0.42,1,0
237,2830,15,0,51,58,2,206,127,VIP,0.18,0.73,Fast,0.44,0,0
238,465,116,13,60,62,2,237,187,General,0.3,0.03,Medium,0.49,1,0
239,914,42,7,64,59,2,270,157,Premium,0.13,0.85,Fast,0.12,0,0
240,3125,16,0,54,61,0,231,153,VIP,0.19,0.51,Medium,0.36,0,0
241,815,110,12,54,64,0,310,235,Premium,0.48,0.8,Medium,0.54,1,0
242,1425,43,1,17,66,1,231,189,Premium,0.38,0.49,Slow,0.76,0,0
243,362,117,11,81,75,2,199,245,General,0.41,0.11,Fast,0.3,1,1
244,1219,43,14,58,86,3,422,198,Premium,0.34,0.7,Fast,0.32,0,0
245,209,118,3,46,69,3,309,266,General,0.2,0.35,Fast,0.43,0,0
246,3084,30,0,83,64,2,235,180,VIP,0.1,1,Medium,0.46,0,0
247,1909,49,0,22,63,0,194,147,VIP,0.21,1,Medium,0.61,1,0
248,2987,23,0,45,59,2,266,99,VIP,0.2,0.6,Medium,0.3,0,0
249,216,124,8,38,66,1,192,272,General,0.22,0.29,Medium,0.55,0,1
250,2974,34,0,78,58,1,247,97,VIP,0.16,0.57,Slow,0.69,1,0
251,334,120,9,80,68,1,208,238,General,0.37,0.62,Slow,0.84,1,0
252,337,98,7,2,62,1,225,206,General,0.18,0.82,Medium,0.63,1,1
253,2851,29,0,71,60,2,300,241,VIP,0.34,1,Fast,0.44,0,0
254,1768,19,0,37,61,0,200,172,Premium,0.18,0.81,Medium,0.66,1,0
255,98,118,9,2,78,3,248,238,General,0.31,0.31,Medium,0.33,0,0
256,2273,33,0,22,60,1,259,109,VIP,0.17,0.99,Fast,0.11,0,0
257,2773,24,6,69,74,2,253,159,VIP,0.06,1,Fast,0.13,1,0
258,344,125,13,72,77,2,331,190,General,0.16,0.39,Medium,0.45,0,1
259,217,103,9,20,68,1,243,222,General,0.27,0.81,Medium,0.38,0,1
260,2884,22,0,81,61,0,273,278,VIP,0.37,0.85,Fast,0.28,0,0
261,100,129,15,6,72,2,314,147,General,0.26,0.97,Medium,0.4,1,1
262,779,34,8,64,60,3,207,129,General,0.35,0.04,Slow,0.79,1,0
263,104,134,9,58,75,1,213,225,General,0.44,0.46,Slow,0.89,1,1
264,3088,29,3,61,69,3,209,228,VIP,0.22,1,Fast,0.2,0,0
265,953,35,4,59,70,0,259,235,Premium,0.32,0.79,Medium,0.63,0,1
266,340,113,8,31,74,1,248,200,General,0.28,0.77,Fast,0.32,1,0
267,681,28,7,47,58,1,247,183,General,0.25,0.12,Fast,0.5,1,0
268,2221,24,0,5,61,2,233,176,VIP,0.38,1,Medium,0.41,0,0
269,1361,41,16,13,78,3,313,254,Premium,0.48,0.72,Slow,0.87,1,0
270,216,129,22,24,82,1,405,234,General,0.5,0.81,Fast,0.44,0,1
271,308,112,15,40,73,0,272,74,General,0.44,0.18,Medium,0.32,0,1
272,1918,37,0,67,51,2,173,161,VIP,0.07,0.73,Fast,0.35,1,0
273,649,51,0,15,63,0,212,122,General,0.23,0.72,Fast,0.47,0,0
274,3003,16,0,28,55,0,243,261,VIP,0.01,0.8,Medium,0.35,0,0
275,590,31,6,6,63,1,192,256,General,0.25,0.89,Slow,0.7,1,0
276,222,112,9,33,59,2,229,155,General,0.32,0.15,Medium,0.36,1,0
277,331,110,10,2,70,0,211,187,General,0.25,0.23,Slow,0.6,1,0
278,144,140,19,87,79,2,308,258,General,0.4,0.85,Fast,0.19,0,1
279,315,106,20,43,82,1,320,310,General,0.47,0.63,Fast,0.15,0,1
280,305,143,17,3,79,3,280,138,General,0.41,0.24,Fast,0.42,0,1
281,488,101,6,19,72,0,363,277,General,0.13,0.27,Fast,0.13,0,1
282,1138,39,1,1,55,2,217,220,Premium,0.04,0.2,Fast,0.28,0,0
283,2186,28,0,88,58,2,273,126,VIP,0.16,0.71,Slow,0.66,1,0
284,413,111,18,73,78,1,328,300,General,0.51,0.22,Medium,0.65,0,1
285,1573,23,0,45,56,2,272,130,Premium,0.22,0.99,Slow,0.74,0,0
286,1058,80,8,65,78,0,336,126,Premium,0.41,0.29,Medium,0.63,1,0
287,469,88,12,28,71,1,344,196,General,0.29,0.23,Slow,0.69,1,0
288,3039,19,2,51,73,1,236,173,VIP,0.22,1,Slow,0.62,1,0
289,463,48,1,66,59,1,236,158,General,0.11,0.96,Slow,0.73,1,0
290,2479,35,6,80,64,3,225,199,VIP,0.33,1,Fast,0.15,0,0
291,788,31,2,46,67,2,240,325,General,0.14,0.62,Slow,0.53,1,0
292,3467,24,0,3,58,2,194,131,VIP,0.12,0.35,Medium,0.45,1,0
293,2523,32,4,76,60,1,157,172,VIP,0.26,0.79,Fast,0.43,0,0
294,2651,18,3,83,65,3,173,255,VIP,0.31,0.58,Medium,0.37,1,0
295,2167,23,14,57,74,2,350,208,VIP,0.29,1,Fast,0.43,0,0
296,172,119,8,41,60,0,221,190,General,0.44,0.65,Fast,0.44,0,1
297,3326,23,0,33,80,1,336,263,VIP,0.04,0.79,Fast,0.39,0,0
298,1521,35,2,56,65,2,259,149,Premium,0.17,0.12,Fast,0.37,0,0
299,3651,25,0,5,56,1,194,202,VIP,0.17,0.5,Fast,0.26,0,0
300,2947,28,6,47,73,2,360,175,VIP,0.33,1,Medium,0.44,0,0
301,1192,31,3,19,52,1,172,118,Premium,0.2,0.77,Fast,0.41,0,0
302,1396,17,4,55,67,1,193,185,Premium,0.24,0.44,Slow,0.63,1,0
303,2780,41,0,3,70,2,308,200,VIP,0.22,0.41,Medium,0.4,0,0
304,950,39,9,88,62,0,283,164,Premium,0.39,0.66,Medium,0.59,1,0
305,2526,44,0,16,65,1,206,214,VIP,0.2,0.84,Fast,0.29,0,0
306,3327,5,0,54,57,2,219,95,VIP,0.23,0.38,Fast,0.22,1,0
307,2825,32,0,69,56,2,217,68,VIP,0.17,0.55,Fast,0.33,0,0
308,1495,33,0,62,72,1,282,254,Premium,0.14,0.59,Medium,0.48,0,0
309,1842,31,6,67,70,1,341,190,Premium,0.34,0.85,Medium,0.48,0,0
310,483,122,7,5,73,0,335,280,General,0.17,0.9,Medium,0.33,1,0
311,313,122,18,6,69,2,273,197,General,0.44,0.23,Medium,0.67,1,0
312,404,123,21,84,75,0,266,227,General,0.41,0.26,Fast,0.49,0,0
313,1651,39,2,67,66,1,271,191,Premium,0.32,0.76,Medium,0.31,1,0
314,442,88,15,8,75,3,262,247,General,0.4,0.84,Fast,0.1,0,0
315,2695,30,0,51,51,0,210,115,VIP,0.42,0.43,Fast,0.21,0,0
316,1262,41,6,27,68,2,285,296,Premium,0.27,0.96,Slow,0.9,1,0
317,1388,32,2,22,57,2,166,125,Premium,0.24,0.12,Slow,0.87,1,0
318,2784,34,4,43,66,3,292,235,VIP,0.24,0.56,Medium,0.5,0,0
319,1571,25,13,40,78,3,332,290,Premium,0.4,0.63,Slow,0.69,1,0
320,1546,34,6,29,72,2,338,233,Premium,0.24,0.58,Fast,0.35,0,0
321,364,123,7,67,63,1,285,196,General,0.15,0.51,Fast,0.31,0,1
322,2637,18,3,73,65,0,188,173,VIP,0.31,0.66,Slow,0.75,0,0
323,575,49,1,47,59,2,149,205,General,0.1,0.43,Medium,0.61,0,0
324,480,101,1,23,58,1,148,149,General,0.34,0.89,Medium,0.34,0,1
325,3264,32,3,27,56,1,230,90,VIP,0.24,0.58,Fast,0.19,0,0
326,511,122,14,18,72,0,279,294,General,0.26,0.48,Medium,0.7,1,0
327,2903,21,0,61,65,1,181,203,VIP,0.25,0.81,Medium,0.55,0,0
328,1506,42,0,46,62,1,277,204,Premium,0.21,0.28,Slow,0.5,1,0
329,3044,39,4,31,61,0,223,148,VIP,0.2,0.85,Fast,0.13,0,0
330,285,129,15,89,74,1,325,221,General,0.38,0.22,Slow,0.7,1,1
331,2727,38,10,49,65,0,173,138,VIP,0.5,0.93,Medium,0.33,0,0
